date,sector,sentiment
2026-03-01,Energy,0.0
2026-03-01,Other,0.0
2026-03-01,Technology,0.0
2026-03-02,Energy,0.0
2026-03-02,Other,0.0
2026-03-02,Technology,0.0
2026-03-03,Energy,0.0
2026-03-03,Other,0.0
2026-03-03,Technology,0.0
2026-03-04,Energy,0.0
2026-03-04,Other,0.0
2026-03-04,Technology,0.0
2026-03-05,Energy,0.0
2026-03-05,Other,0.0
2026-03-05,Technology,0.0
2026-03-06,Energy,0.0
2026-03-06,Other,0.0
2026-03-06,Technology,0.0
2026-03-07,Other,0.0
2026-03-07,Technology,0.0
2026-03-08,Energy,0.0
2026-03-08,Other,0.0
2026-03-08,Technology,0.0
2026-03-09,Energy,0.0
2026-03-09,Other,0.0
2026-03-09,Technology,0.0
2026-03-10,Energy,0.0
2026-03-10,Financials,0.0
2026-03-10,Other,0.0
2026-03-10,Technology,0.0
2026-03-11,Consumer,0.0
2026-03-11,Energy,0.0
2026-03-11,Other,0.0
2026-03-11,Technology,0.0
2026-03-12,Energy,0.0
2026-03-12,Technology,0.0
2026-03-13,Energy,0.0
2026-03-13,Financials,0.0
2026-03-13,Other,0.0
2026-03-13,Technology,0.0
