source,title,description,content,text,url,publishedAt,date,sentiment_label,confidence,sentiment_score
Fortune,Your grandparents are the reason the U.S. isn’t in a recession right now. That won’t last forever,Moody's Mark Zandi and Macquarie's David Doyle on the influence Boomers are wielding in the US economy right now—and how they're preventing a recession.,"The U.S. economy has a love-hate relationship with its ageing population. In the long term, an older population is a headache: It means a shrinking labor pool leading to slower growth, and increased …","Your grandparents are the reason the U.S. isn’t in a recession right now. That won’t last forever Moody's Mark Zandi and Macquarie's David Doyle on the influence Boomers are wielding in the US economy right now—and how they're preventing a recession. The U.S. economy has a love-hate relationship with its ageing population. In the long term, an older population is a headache: It means a shrinking labor pool leading to slower growth, and increased …",https://fortune.com/2026/03/01/boomer-consumption-investing-labor-jobs-creation-recession/,2026-03-01 10:00:00+00:00,2026-03-01,Neutral,0.0,0
Forbes,Warning: AI Is Coming For Your 401(k),Stocks have low earnings yields and TIPS have good yields. Move money from stocks into bonds.,"Artificial intelligence:boom, bubble or bust? Probably a mix of all three. Whatever comes of it, it increases investment risk. It suggests that a lot of retirees and near-retirees need to rethink the…","Warning: AI Is Coming For Your 401(k) Stocks have low earnings yields and TIPS have good yields. Move money from stocks into bonds. Artificial intelligence:boom, bubble or bust? Probably a mix of all three. Whatever comes of it, it increases investment risk. It suggests that a lot of retirees and near-retirees need to rethink the…",https://www.forbes.com/sites/baldwin/2026/02/28/warning-ai-is-coming-for-your-401k/,2026-03-01 11:30:00+00:00,2026-03-01,Neutral,0.0,0
Yahoo Entertainment,Stocks face Iran jitters and a crucial jobs report in the week ahead,,"If you click 'Accept all', we and our partners, including 246 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us…","Stocks face Iran jitters and a crucial jobs report in the week ahead If you click 'Accept all', we and our partners, including 246 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_779d2764-cdf1-4786-b186-4e4295ca49bc,2026-03-01 17:00:00+00:00,2026-03-01,Neutral,0.0,0
ABC News (AU),"Live: Iran strikes set to rattle markets, oil and gold prices jump, Wall Street banks fall on credit quality fears",Global markets are braced for the fallout from the outbreak of war in the Middle East. Follow the day's events and insights from our business reporters on the ABC News live markets blog.,"Just where the ASX will end today is hard to tell, but it's a reasonable bet it won't be higher to yet another new record. Even before Operation Epic Fury was unleashed on Iran, ASX 200 futures clos…","Live: Iran strikes set to rattle markets, oil and gold prices jump, Wall Street banks fall on credit quality fears Global markets are braced for the fallout from the outbreak of war in the Middle East. Follow the day's events and insights from our business reporters on the ABC News live markets blog. Just where the ASX will end today is hard to tell, but it's a reasonable bet it won't be higher to yet another new record. Even before Operation Epic Fury was unleashed on Iran, ASX 200 futures clos…",https://www.abc.net.au/news/2026-03-02/asx-markets-business-news-live-updates/106403856,2026-03-01 20:09:09+00:00,2026-03-01,Neutral,0.0,0
Yahoo Entertainment,"Stock market today: Dow, S&P 500, Nasdaq futures sink, oil prices surge as markets react to Iran conflict",Wall Street is reacting to joint attacks from the US and Israel on Iran. Oil and currencies have seen the greatest jumps.,"US stock futures plummeted Sunday night while oil prices surged, as coordinated military strikes by the US and Israel on Iran jolted global markets. Futures tied to the Dow Jones Industrial Average …","Stock market today: Dow, S&P 500, Nasdaq futures sink, oil prices surge as markets react to Iran conflict Wall Street is reacting to joint attacks from the US and Israel on Iran. Oil and currencies have seen the greatest jumps. US stock futures plummeted Sunday night while oil prices surged, as coordinated military strikes by the US and Israel on Iran jolted global markets. Futures tied to the Dow Jones Industrial Average …",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-sink-oil-prices-surge-as-markets-react-to-iran-conflict-235000315.html,2026-03-01 23:50:00+00:00,2026-03-01,Neutral,0.0,0
Yahoo Entertainment,"US stocks erase sharp losses, while oil prices leap on worries about Iran war","Oil prices leaped Monday on worries that war with Iran could clog the global flow of crude and make inflation even worse. Crude prices jumped more than 6%,...","NEW YORK (AP) Oil prices leaped Monday on worries that war with Iran could clog the global flow of crude and make inflation even worse. U.S. stocks, meanwhile, swung from sharp losses to a tiny gain.…","US stocks erase sharp losses, while oil prices leap on worries about Iran war Oil prices leaped Monday on worries that war with Iran could clog the global flow of crude and make inflation even worse. Crude prices jumped more than 6%,... NEW YORK (AP) Oil prices leaped Monday on worries that war with Iran could clog the global flow of crude and make inflation even worse. U.S. stocks, meanwhile, swung from sharp losses to a tiny gain.…",https://finance.yahoo.com/news/us-futures-asian-shares-open-004753990.html,2026-03-02 00:47:53+00:00,2026-03-02,Neutral,0.0,0
CoinDesk,"Bitcoin, cryptos under pressure as oil spikes 6% and global markets price in U.S.-Iran conflict","Bitcoin fell back to $66,700 as traditional markets opened to their first chance to price the weekend's military escalation, with oil surging to $77 and Asian equities dropping 1.4%.","A brief Sunday rally didn't survive contact with Monday. Bitcoin slid to $66,702 in early Monday trading, down 1.1% over the past 24 hours, as traditional markets reopened and began pricing the U.S.…","Bitcoin, cryptos under pressure as oil spikes 6% and global markets price in U.S.-Iran conflict Bitcoin fell back to $66,700 as traditional markets opened to their first chance to price the weekend's military escalation, with oil surging to $77 and Asian equities dropping 1.4%. A brief Sunday rally didn't survive contact with Monday. Bitcoin slid to $66,702 in early Monday trading, down 1.1% over the past 24 hours, as traditional markets reopened and began pricing the U.S.…",https://www.coindesk.com/markets/2026/03/02/bitcoin-cryptos-under-pressure-as-oil-spikes-6-and-global-markets-price-in-u-s-iran-conflict,2026-03-02 05:26:20+00:00,2026-03-02,Neutral,0.0,0
Al Jazeera English,"Oil prices rise sharply after US, Israeli attacks on Iran",Brent crude is up by 9 percent amid supply concerns as Trump says ‌strikes on Iran could last weeks.,"Oil prices have risen sharply, and stocks have slid as United States and Israeli attacks on Iran and retaliatory strikes against Israeli and US military installations in the Middle East have disrupte…","Oil prices rise sharply after US, Israeli attacks on Iran Brent crude is up by 9 percent amid supply concerns as Trump says ‌strikes on Iran could last weeks. Oil prices have risen sharply, and stocks have slid as United States and Israeli attacks on Iran and retaliatory strikes against Israeli and US military installations in the Middle East have disrupte…",https://www.aljazeera.com/news/2026/3/2/oil-prices-rise-sharply-after-us-israeli-attacks-on-iran,2026-03-02 09:27:13+00:00,2026-03-02,Neutral,0.0,0
Financial Post,"Gold pares gains as traders weigh Iran war, Fed rate outlook",Gold pared some of its early gains as traders weighed the prospect of the Federal Reserve raising interest rates to tame inflation. Read on,Gold pared some of its early gains as traders weighed the prospect of the Federal Reserve raising interest rates to tame inflation spurred by the conflict in the Middle East. THIS CONTENT IS RESERVE…,"Gold pares gains as traders weigh Iran war, Fed rate outlook Gold pared some of its early gains as traders weighed the prospect of the Federal Reserve raising interest rates to tame inflation. Read on Gold pared some of its early gains as traders weighed the prospect of the Federal Reserve raising interest rates to tame inflation spurred by the conflict in the Middle East. THIS CONTENT IS RESERVE…",https://financialpost.com/commodities/gold-climbs-war-drives-safe-assets-demand,2026-03-02 10:51:31+00:00,2026-03-01,Neutral,0.0,0
CBS News,"Stock futures dive, oil prices jump as U.S. war in Iran rattles investors",Stock markets in the U.S. are poised to drop amid concerns that the U.S.-Israel attacks on Iran could drive up energy costs.,"U.S. stock futures tumbled in premarket trading Monday as global oil prices soared amid signs that U.S.-Israel military strikes in Iran were expanding across the region, raising concerns about potent…","Stock futures dive, oil prices jump as U.S. war in Iran rattles investors Stock markets in the U.S. are poised to drop amid concerns that the U.S.-Israel attacks on Iran could drive up energy costs. U.S. stock futures tumbled in premarket trading Monday as global oil prices soared amid signs that U.S.-Israel military strikes in Iran were expanding across the region, raising concerns about potent…",https://www.cbsnews.com/news/stock-market-today-oil-prices-iran-impact/,2026-03-02 13:18:54+00:00,2026-03-01,Neutral,0.0,0
